"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","101 - CHINCOTEAGUE","457","1533","235","29","12","2266","2920","209","3129"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","201 - ATLANTIC","207","526","31","16","2","782","991","56","1047"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","202 - GREENBACKVILLE","337","906","101","41","8","1393","1919","163","2082"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","301 - NEW CHURCH","574","881","186","39","7","1687","2753","209","2962"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","401 - BLOXOM","161","513","33","8","","715","1143","67","1210"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","402 - PARKSLEY","269","484","27","17","3","800","1134","59","1193"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","403 - SAXIS","37","182","7","4","","230","340","14","354"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","501 - MAPPSVILLE","333","330","41","12","8","724","1182","73","1255"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","502 - RUE","322","226","52","14","4","618","1077","65","1142"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","601 - ACCOMAC","769","644","90","20","2","1525","2211","126","2337"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","602 - TANGIER","5","210","22","","2","239","313","7","320"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","701 - NANDUA","1224","804","170","27","9","2234","2932","163","3095"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","801 - BOBTOWN","354","324","47","10","8","743","976","39","1015"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","802 - MELFA","383","475","43","7","7","915","1353","51","1404"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","803 - WACHAPREAGUE","231","345","25","3","3","607","806","26","832"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","901 - PAINTER","890","932","127","34","14","1997","2875","140","3015"
"2024 November General","11/05/2024 00:00:00","ACCOMACK COUNTY","ACCOMACK COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","101 - WOODBROOK","969","1107","239","57","30","2402","3013","173","3186"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","103 - BRANCHLANDS","344","369","152","39","10","914","1290","219","1509"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","104 - AGNOR-HURT","615","968","237","55","12","1887","2583","215","2798"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","105 - DUNLORA","1403","1205","391","55","30","3084","3713","255","3968"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","106 - NORTHSIDE","876","1212","243","52","23","2406","2981","201","3182"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","201 - JACK JOUETT","1384","1022","455","40","35","2936","3644","223","3867"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","202 - UNIVERSITY","322","1011","119","829","16","2297","3670","619","4289"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","203 - GEORGETOWN","827","1119","266","109","24","2345","3368","409","3777"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","301 - IVY","1433","1484","426","43","45","3431","4058","165","4223"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","302 - RED HILL","996","1241","311","35","37","2620","3237","125","3362"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","304 - EAST IVY","474","316","121","16","6","933","1064","50","1114"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","305 - COUNTRY GREEN","1368","905","201","44","18","2536","3072","164","3236"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","306 - PORTERS","378","817","96","19","11","1321","1694","59","1753"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","307 - YELLOW MOUNTAIN","393","537","133","15","10","1088","1300","60","1360"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","401 - SCOTTSVILLE","466","843","124","45","7","1485","1857","94","1951"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","402 - MONTICELLO","538","593","107","27","9","1274","1623","57","1680"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","405 - MOUNTAIN VIEW","1663","1301","427","82","22","3495","4317","316","4633"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","406 - STONE ROBINSON","1535","1066","323","48","26","2998","3537","148","3685"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","407 - BISCUIT RUN","805","634","127","64","21","1651","2476","346","2822"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","501 - KESWICK","424","722","99","12","15","1272","1573","79","1652"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","502 - STONY POINT","462","743","140","25","18","1388","1653","57","1710"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","503 - HOLLYMEAD","779","1373","306","66","19","2543","3130","164","3294"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","504 - FREE BRIDGE","780","646","364","56","14","1860","2312","201","2513"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","506 - BAKER-BUTLER","1476","1997","474","71","29","4047","5020","264","5284"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","507 - PANTOPS","894","686","235","35","29","1879","2175","82","2257"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","601 - CROZET","1182","1586","399","46","19","3232","3867","164","4031"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","602 - FREE UNION","364","747","121","23","16","1271","1511","44","1555"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","603 - EARLYSVILLE","931","1516","339","53","21","2860","3379","136","3515"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","604 - BROWNSVILLE","1162","1194","372","42","25","2795","3298","174","3472"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","606 - MECHUMS RIVER","1374","1498","394","42","34","3342","3881","150","4031"
"2024 November General","11/05/2024 00:00:00","ALBEMARLE COUNTY","ALBEMARLE COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","101 - OLD TOWN NORTH","1768","691","423","96","79","3057","3525","607","4132"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","102 - CITY HALL","1603","547","253","44","98","2545","2999","286","3285"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","1595","963","345","66","104","3073","3586","713","4299"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","104 - DURANT CENTER","1268","780","321","82","90","2541","3017","484","3501"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","105 - LEE CENTER","1142","718","346","60","56","2322","2710","618","3328"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","106 - CORA KELLY","1127","1522","353","168","75","3245","4273","1011","5284"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","1643","1425","437","99","136","3740","4330","625","4955"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","1822","1131","479","90","109","3631","4144","652","4796"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","1057","747","305","55","74","2238","2601","370","2971"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","1586","1276","412","189","83","3546","4336","858","5194"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","111 - POTOMAC YARD","645","672","211","101","34","1663","1932","489","2421"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","201 - NAOMI L. BROOKS SCHOOL","1158","786","252","31","73","2300","2557","206","2763"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","1156","992","347","28","73","2596","2908","211","3119"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","203 - CHARLES BARRETT CENTER","960","1016","284","44","71","2375","2770","372","3142"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","1128","1056","327","39","77","2627","3029","257","3286"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","1492","1117","435","102","101","3247","3856","666","4522"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","206 - ALEXANDRIA CITY HIGH SCHOOL","1305","788","346","87","71","2597","3217","613","3830"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","1452","1151","437","61","89","3190","4016","383","4399"
